Category,Title,Brand,Price (INR),Rating,Review Count,Product Badge,Product URL,Image URL,Delivery Info,Discount
laptop,"HP Pavilion x360, 13th Gen Intel Core i5-1335U (16GB DDR4, 512GB SSD) FHD, IPS, Micro-Edge, 14""/35.6cm, Touchscreen 2-in-1, Win11, Office21, Silver, 1.51kg, ek1074TU, Iris Xe, FPR, 5MP Camera Laptop",,,3.8 out of 5 stars,169,,,https://m.media-amazon.com/images/I/618zAXbM4uL._AC_UY218_.jpg,,
laptop,"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop",,,4.0 out of 5 stars,"1,653",,,https://m.media-amazon.com/images/I/61SHFVKs+AL._AC_UY218_.jpg,,
laptop,"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter, Backlit Laptop",,,3.7 out of 5 stars,147,,,https://m.media-amazon.com/images/I/71FXHAM+jWL._AC_UY218_.jpg,,
laptop,"Acer [SmartChoice Aspire Lite AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop",,,3.9 out of 5 stars,"1,270",,,https://m.media-amazon.com/images/I/61k0gpxQwCL._AC_UY218_.jpg,,
laptop,"Acer Aspire Lite, 13th Gen, Intel Core i3-1305U, 8GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-53, Metal Body, 36 WHR, Thin and Light Premium Laptop",,,3.9 out of 5 stars,336,,,https://m.media-amazon.com/images/I/71o7b6YJMfL._AC_UY218_.jpg,,
laptop,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",,,4.6 out of 5 stars,"7,004",,,https://m.media-amazon.com/images/I/71jG+e7roXL._AC_UY218_.jpg,,
laptop,"Dell Inspiron 3530 Laptop, 13th Gen Intel Core i5-1334U Processor, 16GB, 512GB SSD, 15.6""(39.62cm) FHD 120Hz 250 nits, Backlit KB, Windows 11 + MSO'24 & 15 Month McAfee, Silver, Thin & Light- 1.62kg",,,3.8 out of 5 stars,69,,,https://m.media-amazon.com/images/I/81RQ0bjUo1L._AC_UY218_.jpg,,
laptop,"Lenovo Smartchoice LOQ, Intel Core i5-12450HX, 12th Gen, RTX 3050-6GB, 16GB RAM, 512GB SSD, FHD 144Hz 300Nits, 15.6""/39.6cm, Windows 11, MS Office 21, Grey, 2.4Kg, 83GS003UIN, Gaming Laptop",,,4.0 out of 5 stars,612,,,https://m.media-amazon.com/images/I/81tmCrtiRgL._AC_UY218_.jpg,,
laptop,"HP 15, AMD Ryzen 5 7520U, 16GB DDR5, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, Micro-Edge, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, 1080p FHD Camera, Backlit KB, fc0156AU",,,3.4 out of 5 stars,72,,,https://m.media-amazon.com/images/I/615YseEDBqL._AC_UY218_.jpg,,
laptop,HP 255 G10 ‎‎Laptop (AMD Athlon Silver 7120U/ 8GB RAM / 256GB SSD/Windows 11/15.6 INCH ASH Silver,,,3.8 out of 5 stars,33,,,https://m.media-amazon.com/images/I/71rw7cd14mL._AC_UY218_.jpg,,
